day,avatar-cell href,commit-row-message,commit-row-message href,commit-row-description,,,,,
,O,Alterações para build via maven.,A,,,,,,
,J,Merge,A,,,,,,
,J,Merge,A,,,,,,
,O,Execução de queries pré programadas.,A,,,,,,
,J,Login com Token salvo.,A,,,,,,
,O,Comunicação com SAF.,A,,,,,,
,J,Tela de login com autorizacao e toke. Proxy configurado proxy.config.js para...,A,"Tela de login com autorizacao e toke. Proxy configurado proxy.config.js para retirar conflito com o CORS

Signed-off-by: cristian przepiura",,,,,
,O,Adicionada máscaras nos inputs da fila de produção.,A,,,,,,
,E,ajuste progress bar,A,,,,,,
,O,Merge,A,,,,,,
,E,Ajuste btn 1024,A,,,,,,
,E,Ajuste descricao do elemento,A,,,,,,
,O,Preparação para ambiente de producao.,A,,,,,,
,O,Ajustes processo.,A,,,,,,
,E,Merge,A,,,,,,
,O,Implementação da visualização dos valores recebidos do CLP.,A,,,,,,
,O,Merge,A,,,,,,
,O,Desenv da fila de produção.,A,,,,,,
,E,"Ajustes tela de produção, modal, codigo de barras e cores do box",A,,,,,,
,O,Merge,A,,,,,,
,E,Merge,A,,,,,,
,O,Merge,A,,,,,,
,O,Implementando tela de produção.,A,,,,,,
,O,Merge,A,,,,,,
,E,"Inserção component snack, dialog e tela de receita mais extras",A,,,,,,
,E,"Tela de Maquina, organização de menu e pastas",A,,,,,,
,E,Tela de Maquina,A,,,,,,
,E,Merge,A,,,,,,
,O,Integração Processo Web-Engine,A,,,,,,
,E,Layout,A,,,,,,
,E,Commit novas telas + layout menu lateral,A,,,,,,
,O,Mudança do datasource.,A,,,,,,
,E,Inserção do front Material Angular,A,,,,,,
,O,Implementação da Execução de SQL via Script.,A,"Testes com SQL

Melhorias no acesso ao repositório.",,,,,
,O,Correção nos niveis de logs,A,Implementações e tratamentos no Processo Fastbox.,,,,,
,O,Correções e melhorias referentes ao concluir um item.,A,,,,,,
,O,Melhorias no processo de acordo com os testes realizados com simulador,,2 years ago,,,,,
,O,"Execução de ações a partir de scripts via Nashorn (Get, Post, Mqtt, ...).",A,,,,,,
,O,Alterações Prova de conceito MQTT e Rest,A,"Logs
Tags IotGateway",,,,,
,O,Implementação da execução periodica.,A,"Criado serviço para incluir vários processos
Criado processo especifico para Fastbox.",,,,,
,O,Desenvolvimento para maquina de estado Fastbox,A,,,,,,
,O,IC-mqtt first commit.,A,,,,,,
"31 May, 2021",,,,,,,,,
,D,Merge,F,,,,,,
"26 May, 2021",,,,,,,,,
,D,fixes liberar device,F,,,,,,
"25 May, 2021",,,,,,,,,
,D,list perda fixes,F,,,,,,
"21 May, 2021",,,,,,,,,
,D,report fixes,F,,,,,,
"19 May, 2021",,,,,,,,,
,D,report,F,,,,,,
"17 May, 2021",,,,,,,,,
,D,reports,F,,,,,,
"13 May, 2021",,,,,,,,,
,D,reports,F,,,,,,
,D,saic reports,F,,,,,,
"26 Apr, 2021",,,,,,,,,
,D,fixes,F,,,,,,
"22 Apr, 2021",,,,,,,,,
,D,ordenacao fixes,F,,,,,,
"20 Apr, 2021",,,,,,,,,
,D,Merge,F,,,,,,
"19 Apr, 2021",,,,,,,,,
,H,fixes remove dev_flk_agente ao alterar gpib para tcp,F,,,,,,
"03 Apr, 2021",,,,,,,,,
,B,Correção agente_fluke nulo em teste,F,,,,,,
"01 Apr, 2021",,,,,,,,,
,D,fixes,F,,,,,,
"29 Mar, 2021",,,,,,,,,
,D,fixes,F,,,,,,
"26 Mar, 2021",,,,,,,,,
,B,Redução tempo agente indisponível + Correção update de firmware em execução,F,,,,,,
"24 Mar, 2021",,,,,,,,,
,D,retest fixes,F,,,,,,
"23 Mar, 2021",,,,,,,,,
,D,fixes,F,,,,,,
,D,retest,F,,,,,,
"21 Mar, 2021",,,,,,,,,
,D,retest,F,,,,,,
"19 Mar, 2021",,,,,,,,,
,D,retest,F,,,,,,
,D,retest fixes,F,,,,,,
"18 Mar, 2021",,,,,,,,,
,D,reteste fixes,F,,,,,,
"16 Mar, 2021",,,,,,,,,
,H,fixes,F,,,,,,
"15 Mar, 2021",,,,,,,,,
,D,Merge,F,,,,,,
"11 Mar, 2021",,,,,,,,,
,H,fixes,F,,,,,,
"08 Mar, 2021",,,,,,,,,
,D,etiqueta fixes,F,,,,,,
"03 Mar, 2021",,,,,,,,,
,D,fixes,F,,,,,,
,D,more options filter fixes,F,,,,,,
"26 Feb, 2021",,,,,,,,,
,B,Correção seleção de equipamento em cache,F,,,,,,
"25 Feb, 2021",,,,,,,,,
,H,fixes,F,,,,,,
"18 Feb, 2021",,,,,,,,,
,H,Merge,F,,,,,,
"15 Feb, 2021",,,,,,,,,
,D,retest,F,,,,,,
"12 Feb, 2021",,,,,,,,,
,D,Merge,F,,,,,,
"11 Feb, 2021",,,,,,,,,
,H,Refactor: Fixes ngModel to formControl,F,,,,,,
"09 Feb, 2021",,,,,,,,,
,B,Desvincular agente de equip TCP sem uso,F,,,,,,
"05 Feb, 2021",,,,,,,,,
,H,Refactor: Filtro agente ativo,F,,,,,,
,H,Refactor: Filter Agente,F,,,,,,
"02 Feb, 2021",,,,,,,,,
,H,Refactor: Novo campo para contagem de usuarios utilizando o agente,F,,,,,,
"29 Jan, 2021",,,,,,,,,
,H,Refactor: Save enderecos de agentes,F,,,,,,
"27 Jan, 2021",,,,,,,,,
,H,fix dep JDBC,F,,,,,,
"25 Jan, 2021",,,,,,,,,
,D,Merge,F,,,,,,
"21 Jan, 2021",,,,,,,,,
,O,Teste ojdbc8,F,,,,,,
,H,fixes,F,,,,,,
,H,Refactor: Importacao status,F,,,,,,
,H,fixes,F,,,,,,
"12 Jan, 2021",,,,,,,,,
,H,Refactor: gerar relatorio,F,,,,,,
,D,Merge,F,,,,,,
"08 Jan, 2021",,,,,,,,,
,H,Refactor: Ajuste no path do manual,F,,,,,,
"06 Jan, 2021",,,,,,,,,
,H,Refactor: profiles,F,,,,,,
"05 Jan, 2021",,,,,,,,,
,H,Fixes pull origin release,F,,,,,,
"22 Dec, 2020",,,,,,,,,
,D,fixes,F,,,,,,
"21 Dec, 2020",,,,,,,,,
,H,fixes,F,,,,,,
"21 Dec, 2020",,,,,,,,,
,H,Merge,F,,,,,,
,H,Fixes: Import planilha de testes,F,,,,,,
"15 Dec, 2020",,,,,,,,,
,H,Refactor: Script,F,,,,,,
"14 Dec, 2020",,,,,,,,,
,D,bug fixes,F,,,,,,
"13 Dec, 2020",,,,,,,,,
,D,bug fixes,F,,,,,,
"10 Dec, 2020",,,,,,,,,
,H,Refactor: Nova branch com as configs tomcat,F,,,,,,
"04 Dec, 2020",,,,,,,,,
,D,bug fixes,F,,,,,,
"03 Dec, 2020",,,,,,,,,
,D,fixes,F,,,,,,
"02 Dec, 2020",,,,,,,,,
,D,bug fixes,F,,,,,,
"01 Dec, 2020",,,,,,,,,
,D,bug fixes,F,,,,,,
"23 Nov, 2020",,,,,,,,,
,D,Merge,F,,,,,,
"19 Nov, 2020",,,,,,,,,
,D,Merge,F,,,,,,
"18 Nov, 2020",,,,,,,,,
,D,Merge,F,,,,,,
"17 Nov, 2020",,,,,,,,,
,D,Merge,F,,,,,,
"15 Nov, 2020",,,,,,,,,
,D,Merge,F,,,,,,
"12 Nov, 2020",,,,,,,,,
,D,Merge,F,,,,,,
,D,Merge,F,,,,,,
"09 Nov, 2020",,,,,,,,,
,D,Merge,F,,,,,,
"03 Nov, 2020",,,,,,,,,
,H,Refactor: Component,F,,,,,,
"30 Oct, 2020",,,,,,,,,
,D,Merge,F,,,,,,
"29 Oct, 2020",,,,,,,,,
,B,Merge,F,,,,,,
,D,Merge,F,,,,,,
"26 Oct, 2020",,,,,,,,,
,D,Merge,F,,,,,,
"23 Oct, 2020",,,,,,,,,
,B,Correção seleção de IP do agente,F,,,,,,
"23 Oct, 2020",,,,,,,,,
,D,Merge,F,,,,,,
,D,Merge,F,,,,,,
"20 Oct, 2020",,,,,,,,,
,D,Merge,F,,,,,,
"19 Oct, 2020",,,,,,,,,
,D,Merge,F,,,,,,
"16 Oct, 2020",,,,,,,,,
,B,Calibração + Report Posição fila,F,,,,,,
"15 Oct, 2020",,,,,,,,,
,B,Execução de teste com fila + init Report posição,F,,,,,,
,B,Item 1 - Identificar numero de OPMs,F,,,,,,
"13 Oct, 2020",,,,,,,,,
,D,Merge,F,,,,,,
"13 Oct, 2020",,,,,,,,,
,D,qrcode access,F,,,,,,
"12 Oct, 2020",,,,,,,,,
,D,Merge,F,,,,,,
"09 Oct, 2020",,,,,,,,,
,D,Merge,F,,,,,,
"06 Oct, 2020",,,,,,,,,
,D,Merge,F,,,,,,
"16 Sep, 2020",,,,,,,,,
,B,Merge,F,,,,,,
,B,Correção cadastro fluke,F,,,,,,
,D,Merge,F,,,,,,
,D,Merge,F,,,,,,
,D,Merge,F,,,,,,
,D,Merge,F,,,,,,
,B,Cor de toggle,F,,,,,,
,B,Correção save device,F,,,,,,
,B,Correção estado ativo devices TCPIP,F,,,,,,
,D,fixes,F,,,,,,
,B,Livemode por equipamento,F,,,,,,
,D,Merge,F,,,,,,
,D,Merge,F,,,,,,
,D,Merge,F,,,,,,
,D,Merge,F,,,,,,
,B,Escoder 'comunicação' quando equipamento é TCPIP,F,,,,,,
,B,Porta dinâmica de livemode,F,,,,,,
,B,Vincular todos os equipamentos a agentes fluke,F,,,,,,
,B,Cadastro de equipamentos TCP/IP,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,Merge,F,,,,,,
,D,Merge,F,,,,,,
,O,Merge,F,,,,,,
,O,Merge,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,Merge,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,Merge,F,,,,,,
,D,Merge,F,,,,,,
,D,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,D,fixes,F,,,,,,
,L,Merge,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,D,fixes,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,D,testar agrupado,F,,,,,,
,L,Funcionalidade inicial de Download do manual,F,,,,,,
,L,Merge,F,,,,,,
,L,Commit inicial,F,,,,,,
,L,Organização de código e atualização de comentários.,F,,,,,,
,L,Contador de reprocesso,F,,,,,,
,L,Fluxo de reprocesso completo,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,O,Merge,F,,,,,,
,O,Merge,F,,,,,,
,L,Merge,F,,,,,,
,O,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Implementação impressão certificado versão 1,F,,,,,,
,O,Merge,F,,,,,,
,O,Merge,F,,,,,,
,B,Correção listagem de dispositivos com servidor acessado através de proxy,F,Método heartbeat salva o endereço do cliente que originou o request,,,,,
,B,Correção DeviceService.list() em link externo com proxy,F,,,,,,
,O,Merge,F,,,,,,
,D,correção impressão de etiqueta,F,,,,,,
,O,Rollback da alteração do websocket com ssl.,F,,,,,,
,O,Merge,F,,,,,,
,L,Merge,F,,,,,,
,D,Merge,F,,,,,,
,O,Merge,F,,,,,,
,D,Merge,F,,,,,,
,D,MNT-10.V1,F,,,,,,
,L,FOIS-644 API para exclusão de Produtos e Lotes,F,,,,,,
,D,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,Impleentação da exclusão de Equipamento,F,,,,,,
,L,Merge,F,,,,,,
,D,MNT-10,F,,,,,,
,D,MNT-10,F,,,,,,
,D,MNT-10,F,,,,,,
,O,Configuração do histograma para sla.,F,,,,,,
,O,Teste da ferramenta micrometer.,F,,,,,,
,O,Merge,F,,,,,,
,D,Merge,F,,,,,,
,L,Merge,F,,,,,,
,B,Inserido teste de porta HTTPS do agente,F,"Primeiro, testa-se a porta HTTPS a partir do HostName declarado no Heartbeat. Se o teste retornar falha, tentar todos os possíveis endereços HTTP.",,,,,
,O,Correção no script para importação de lotes.,F,,,,,,
,D,Merge,F,,,,,,
,O,Teste no Jenkins File,F,,,,,,
,B,Merge,F,,,,,,
,L,FOIS-598,F,,,,,,
,L,Merge,F,,,,,,
,B,Merge,F,,,,,,
,D,Fix on fiber tests,F,,,,,,
,D,FOIS-625,F,,,,,,
,L,Merge,F,,,,,,
,D,FOIS-625,F,,,,,,
,B,Movido código de firmware para coluna distinta,F,,,,,,
,L,Merge,F,,,,,,
,L,Correção ResultILRL,F,,,,,,
,N,impressao Etiqueta PDF,F,,,,,,
,N,FOIS-40 - verificação usuario por tipo Etiqueta,F,,,,,,
,N,FOIS-40,F,,,,,,
,N,Merge,F,,,,,,
,L,FOIS-329,F,,,,,,
,L,Padronização de downlod doas arquivos de importação para .xlsx,F,,,,,,
,L,Correção do download de Arquivo Modelo para Importação Por Fornecedor,F,,,,,,
,L,Correção do download de Arquivo Modelo para Importação Por loe e Por,F,Fornecedor,,,,,
,L,FOIS-329,F,,,,,,
,L,Aumento maximumWarning,F,,,,,,
,F,Merge,F,,,,,,
,L,FOIS-613,F,,,,,,
,F,Merge,F,,,,,,
,F,Merge,F,,,,,,
,K,correção para geração de arquivo,F,,,,,,
,L,Merge,F,,,,,,
,K,historico por fibra,F,,,,,,
,K,Merge,F,,,,,,
,L,Busca do ip do agente cadastrado e tratamento da exclusão de agente em,F,utilização.,,,,,
,K,check point,F,,,,,,
,L,FOIS-616,F,,,,,,
,L,FOIS-616,F,,,,,,
,L,Merge,F,,,,,,
,L,FOIS-615,F,,,,,,
,L,FOIS-592,F,,,,,,
,K,Merge,F,,,,,,
,E,Ajuste de exibição de menu de acordo com as permissoes,F,"Menu escondido para:

Pipeline - Gestão de testes - Atualizar Lote/Produto
Pipeline - Gestão de testes - Atualizar Plano de Teste
Pipeline - Gestão de testes - Desbloquear Número de Série
Pipeline - Gestão de testes - Etiquetas
Pipeline - Gestão de testes - Excluir Resultado de Teste
Pipeline - Gestão de testes - Histórico
Pipeline - Gestão de testes - Visualização
Pipeline - Realizar testes",,,,,
,L,Fixes Permissões Pipeline e Impressoras,F,,,,,,
,K,Merge,F,,,,,,
,K,correção permissões,F,,,,,,
,L,Permissões de Cadastro e Visualização de Impressoras,F,"FOIS- 590
FOIS- 599",,,,,
,L,Permissões de Cadastro e Visualização de Roteiro,F,Implementação do método hasAnyPermission,,,,,
,L,Alteração do nome Pesquisa para Visualização,F,,,,,,
,K,Correção na importação de testes por lote,F,"Correção do bug ""Não está imprimindo a etiqueta de Resultado de teste e o Certificado de teste óptico""",,,,,
,K,correções para gmud,F,,,,,,
,K,Retirando comentários de teste,F,,,,,,
,E,Merge,F,,,,,,
,K,ignore,F,,,,,,
,K,Merge,F,,,,,,
,K,Merge,F,,,,,,
,L,FOIS-585 Troca da mensagem de número de série,F,,,,,,
,K,Importação por lote,F,,,,,,
,L,FOIS-466 GESTAO LOTE,F,,,,,,
,F,prod para master,F,,,,,,
,K,Merge,F,,,,,,
,L,Merge,F,,,,,,
,K,Merge,F,,,,,,
,K,Merge,F,,,,,,
,K,correção da atenuação para tipo teste RL,F,,,,,,
,L,pageSize Impressora,F,,,,,,
,K,Merge,F,,,,,,
,K,Merge,F,,,,,,
,K,Merge,F,,,,,,
,L,Backeend SeefEtiqueta,F,,,,,,
,F,correcao para hml,F,,,,,,
,F,Merge,F,,,,,,
,L,Merge,F,,,,,,
,L,FOIS-502 Cadastro de Equipamento,F,,,,,,
,F,Merge,F,,,,,,
,L,Merge,F,,,,,,
,K,Merge,F,,,,,,
,L,Merge,F,,,,,,
,F,Build datetime para view no dev2,F,,,,,,
,F,Correcao no historico,F,,,,,,
,L,Base de dados - Listagem no front - Início da listagem no back,F,,,,,,
,F,Deploy dev2,F,,,,,,
,K,correção na atenuação,F,,,,,,
,F,Correcoes bugs,F,,,,,,
,K,desativando enable local,F,,,,,,
,F,"Correcao de bugs na home, pipeline, etc",F,atualizados.,,,,,
,L,FOIS-440 Permissões do Sistema,F,,,,,,
,K,Merge,F,,,,,,
,E,Diagramação tela de teste Visual e Intereferometro,F,,,,,,
,L,Merge,F,,,,,,
,L,"Funcionalidades cadastro fluke, na tela de equipamentos",F,,,,,,
,L,Cadastro e listagem endereço agente fluke frontend,F,,,,,,
,L,Cadastro e listagem endereço agente fluke backend,F,,,,,,
,L,Cadastro endereço agente fluke banco de dados-scripts-backend,F,,,,,,
,K,serviço de relatório,F,,,,,,
,K,Correção FOIS476,F,,,,,,
,L,Merge,F,,,,,,
,L,Atualização de script tabela DEV_DEVICE e validação do método incClear,F,,,,,,
,K,organizando imports,F,,,,,,
,K,Merge,F,,,,,,
,F,Atividade interferometro até liberação,F,,,,,,
,K,alterando a forma como salva plano de teste.,F,,,,,,
,F,Merge,F,,,,,,
,K,Merge,F,,,,,,
,K,ignore,F,,,,,,
,F,Retira comando pordeus da conclusao dos testes,F,Modificacoes para teste de fibra agrupada identificar erros durante processo e nao realizar live mode,,,,,
,K,Correção FOIS-482,F,,,,,,
,K,Correção FOIS-481,F,,,,,,
,L,Cadastro do Fator de Compensação - Tipo de teste/Comprimento de onda/FIbras,F,,,,,,
,K,Merge,F,,,,,,
,K,Merge,F,,,,,,
,K,apontando serviço fluke para equipamento,F,agente.,,,,,
,K,correções fluke,F,,,,,,
,F,Indo para testes,F,,,,,,
,K,correção caracter especial,F,,,,,,
,K,Merge,F,,,,,,
,L,Merge,F,,,,,,
,K,histórico por número de série fluke,F,,,,,,
,F,Correcao de bugs,F,,,,,,
,K,concluir teste fluke parte II,F,,,,,,
,K,correção contagem quantidade de sucateio e reprocesso,F,,,,,,
,E,Ajuste table firefox,F,,,,,,
,F,Structure,F,,,,,,
,L,FOIS-260 / Alteração e Reset de senha,F,,,,,,
,K,feito até aqui... ainda não salva uma medição,F,,,,,,
,E,Merge,F,,,,,,
,F,Mudancas para nova gestao e conclusao,F,,,,,,
,F,Correcao para sequências que possuam lote e produto preenchidos simultaneamente.,F,,,,,,
,L,FOIS-362 e FOIS-438,F,,,,,,
,K,atualização dos scripts,F,,,,,,
,K,Merge,F,,,,,,
,E,Remocao Config Menu,F,,,,,,
,F,Merge,F,,,,,,
,L,FOIS-404,F,,,,,,
,K,correção na conversão de data,F,,,,,,
,F,Merge,F,,,,,,
,L,FOIS-334,F,Bloqueia equipamento para teste nao marcado quando etapas sao agrupadas mas equipamento nao testa agrupado,,,,,
,F,Fibra agrupamento,F,,,,,,
,F,Correções de validação na execucao de teste,F,,,,,,
,L,FOIS-342,F,,,,,,
,K,Merge,F,,,,,,
,K,eliminando comentários,F,,,,,,
,K,commit parcial da alteração no cadastro de equipamento,F,,,,,,
,K,atualização do script,F,,,,,,
,F,Andamento das melhorias de execucao,F,,,,,,
,K,correções no cancelar númeo de série,F,,,,,,
,L,Merge,F,,,,,,
,K,fluke,F,,,,,,
,L,Merge,F,,,,,,
,F,FOIS-384,F,,,,,,
,F,Correcao para deploy,F,,,,,,
,F,deploy,F,,,,,,
,F,Para deploy bugs,F,,,,,,
,K,Retirando mensagem,F,,,,,,
,F,Correçao de erros de build,F,,,,,,
,E,Ajuste execucao agrupado,F,,,,,,
,K,excluir número de série,F,,,,,,
,E,Merge,F,,,,,,
,K,correções,F,,,,,,
,F,Tenta reduzir tamanho da pagina para melhorar performance,F,,,,,,
,F,Correcao da inversao de IL/RL com map-200 e outros equipamentosy,F,,,,,,
,K,correção medições,F,,,,,,
,F,Move mensagem de retorno do reprocessar para o final,F,,,,,,
,F,Merge,F,,,,,,
,F,Listagem agrupada de testes,F,,,,,,
,E,Merge,F,,,,,,
,E,fois 358,F,Correção do bug: FOIS-351 - Ordenação Fibra por Canal para produto com 48 Fibras não é exibida corretamente,,,,,
,E,Merge,F,,,,,,
,K,Correção na ordenação dos canais e fibras,F,,,,,,
,E,Ajustes do back + cadastro equip,F,,,,,,
,K,Parando live mode na calibração,F,,,,,,
,F,Logs,F,,,,,,
,E,Merge,F,,,,,,
,E,Merge,F,,,,,,
,F,reduz para 1 minuto geracao de relatorio,F,t,,,,,
,F,xml beans,F,,,,,,
,K,Correção de scripts,F,,,,,,
,K,Merge,F,,,,,,
,F,Execucao em ordem,F,,,,,,
,K,commit até aqui... testado na simulação,F,,,,,,
,F,Totalizadores das etapas,F,,,,,,
,F,dev1,F,,,,,,
,F,Correção para clique de botão no roteiro.,F,,,,,,
,E,Folha de estilo,F,,,,,,
,K,Merge,F,,,,,,
,F,Resolve duplicação de versões de número de série.,F,,,,,,
,F,Gestao de lote funcionando.,F,,,,,,
,F,Aplicação subindo novamente,F,,,,,,
,K,MAPEAMENTO ENTIDADE X TABELA,F,,,,,,
,E,border width gestao de lote,F,,,,,,
,E,"alterações scss incluindo table, display flex",F,,,,,,
,F,Merge,F,,,,,,
,E,Tela de totalizadores,F,,,,,,
,F,Correções gerais pré GMUD,F,,,,,,
,F,Move versao para sucateamento de cabo para resultado.,F,,,,,,
,F,Front end,F,,,,,,
,K,Merge,F,,,,,,
,K,clean code,F,,,,,,
,F,Deploy WL,F,,,,,,
,K,Historico e Reprocesso,F,,,,,,
,K,Continuação da correção das versões,F,,,,,,
,K,Histórico na tela de gestão de lote,F,,,,,,
,F,Refactoring em andamento,F,,,,,,
,F,FOIS-238,F,,,,,,
,K,"Correção do bug: FOIS-292 - Se ao informar o número do lote, for deixado um...",F,"Correção do bug: FOIS-292 - Se ao informar o número do lote, for deixado um espaço na frente, o mesmo não é encontrado.",,,,,
,L,FOIS-271,F,"Correção do bug : FOIS-145 - Quando usuário recupera uma versão de Sequência ele retorna mensagem de ""editando padrão do sistema"" mesmo quando não é do tipo Padrão",,,,,
,K,Correção do bug: FOIS-295,F,,,,,,
,E,fois 277,F,,,,,,
,K,Correção de bugs: FOIS-265,F,,,,,,
,L,Merge,F,,,,,,
,L,FOIS-251,F,,,,,,
,F,projeto,F,,,,,,
,K,Merge,F,,,,,,
,F,commit para dev,F,,,,,,
,F,scheduled enabled para dev,F,,,,,,
,K,Merge,F,,,,,,
,E,tentativa scroll,F,,,,,,
,K,Correção de bug,F,,,,,,
,E,Removao da mensagem de snackbar aprovado e reprovado no momento no teste,F,,,,,,
,K,Merge,F,,,,,,
,K,Merge,F,,,,,,
,K,FOIS-27 - Como usuário gostaria de poder indicar em qual lado do cabo esta sendo realizado o teste,F,,,,,,
,L,Merge,F,,,,,,
,E,Merge,F,,,,,,
,F,produtos saem da gestao,F,,,,,,
,K,Merge,F,,,,,,
,E,Modal de calibragem,F,,,,,,
,F,equip02,F,,,,,,
,K,Correção na simulação de plano de teste,F,,,,,,
,K,Merge,F,,,,,,
,K,Merge,F,,,,,,
,F,deleta ojdbc do git,F,,,,,,
,K,Merge,F,,,,,,
,F,vscode front,F,,,,,,
,K,Tratamento de retorno quando iserido produto ou lote inexistente na tela de pesquisa de limites,F,,,,,,
,K,Correções e finalização da simulação,F,,,,,,
,K,Limpando imports,F,,,,,,
,K,Simulação parte 2,F,,,,,,
,K,Simular plano de teste,F,,,,,,
,F,node10,F,,,,,,
,F,FOIS-160,F,,,,,,
,F,spring profiles default,F,,,,,,
,F,melhora dependencias oracle do projeto,F,,,,,,
,K,Correção no cadastro de roteiro e lista de recursos por produto na simulação de plano de teste,F,,,,,,
,F,devices 2 lendo live mode,F,,,,,,
,F,novas modificacoes para equip,F,,,,,,
,E,Merge,F,,,,,,
,F,vai para master jade,F,,,,,,
,F,resolvido limites,F,,,,,,
,E,melhores praticas lang,F,,,,,,
,E,Inserção name pela Perfil automação teste,F,,,,,,
,E,correcao geral,F,,,,,,
,K,Merge,F,,,,,,
,E,correcao bug fois-128 e 130,F,,,,,,
,M,Merge,F,,,,,,
,F,importacao de conectores liberada,F,,,,,,
,E,ajuste mobile pipeline,F,,,,,,
,E,Ajuste conflito,F,,,,,,
,K,Salvar e continuar na tela de cadastro de limites,F,Alteração no cadastro de limites para que carregue somente os conectores do lote ou produto selecionado,,,,,
,F,"Modelo de geracao de num de serie , lote e produto",F,,,,,,
,K,Correção cron scheduled,F,,,,,,
,F,Melhoria paginador,F,,,,,,
,K,teste,F,,,,,,
,E,Merge,F,,,,,,
,F,integracoes funcionando,F,,,,,,
,E,Merge,F,,,,,,
,F,git ignore,F,,,,,,
,F,commit de ajustes,F,,,,,,
,F,pow final,F,,,,,,
,F,"commit funcionando, falta validar com modificacoes para weblogic",F,,,,,,
,F,local funcionando com oracle~,F,,,,,,
"28 Jun, 2021",,,,,,,,,
,B,Remoção de inversão de IL-RL,D,,,,,,
"23 Jun, 2021",,,,,,,,,
,B,Correções: desconexão / setDUTLengthEstimation / Tamanho máximo arquivo Log,D,,,,,,
"02 Jun, 2021",,,,,,,,,
,B,Console Modo Debug Dinamico,D,V3.3.5,,,,,
"05 May, 2021",,,,,,,,,
,B,Correção async POST Statistics,D,,,,,,
"09 Apr, 2021",,,,,,,,,
,B,Correção medição de tempos,D,,,,,,
"01 Apr, 2021",,,,,,,,,
,B,V3.3.1 - Logs+Tempos de execução,D,,,,,,
"29 Mar, 2021",,,,,,,,,
,H,Merge,D,,,,,,
,H,fixes simulador / path arquivo + delete,D,,,,,,
"18 Mar, 2021",,,,,,,,,
,B,Merge,D,,,,,,
,H,ghostscript dll print pdf,D,,,,,,
"16 Mar, 2021",,,,,,,,,
,H,fixes,D,,,,,,
,H,fixes,D,,,,,,
"11 Mar, 2021",,,,,,,,,
,H,refactor,D,,,,,,
,H,fixes,D,,,,,,
"08 Mar, 2021",,,,,,,,,
,B,Atualização de códigos de versão 3.2.2/1.30.5,D,,,,,,
,H,fixes,D,,,,,,
"04 Mar, 2021",,,,,,,,,
,H,printer util,D,,,,,,
"03 Mar, 2021",,,,,,,,,
,H,native printer,D,,,,,,
"01 Mar, 2021",,,,,,,,,
,H,Feature: Network printing,D,,,,,,
"25 Feb, 2021",,,,,,,,,
,B,Merge,D,,,,,,
"18 Feb, 2021",,,,,,,,,
,B,Merge,D,,,,,,
"12 Feb, 2021",,,,,,,,,
,B,Melhorias de performance,D,,,,,,
,B,Processamento em sessão de livemode / deviceLock,D,,,,,,
,B,Correção encerramento conexão websocket,D,,,,,,
"05 Feb, 2021",,,,,,,,,
,B,MAP-200: Mudança de modo de operação,D,,,,,,
,B,"Desconexão, buffer TCP, sequência comandos MAP",D,,,,,,
"03 Feb, 2021",,,,,,,,,
,B,Setup pré-testes MAP-200 TCP,D,,,,,,
"02 Feb, 2021",,,,,,,,,
,B,FIX Tentativa de reconexão,D,,,,,,
"01 Feb, 2021",,,,,,,,,
,B,Certificado único (pfx) + tentativa de reconexão,D,,,,,,
,B,V3.1.2,D,Importação manual de certificado de domínio,,,,,
,B,Correção simulador TCP-IP,D,,,,,,
"14 Dec, 2020",,,,,,,,,
,B,Melhoria em simulador / Upgrader permitir hostname,D,,,,,,
"03 Dec, 2020",,,,,,,,,
,B,Correção livemode/teste + correção formatação JSON,D,,,,,,
"02 Dec, 2020",,,,,,,,,
,B,Corrigido erro em excesso de tentativas,D,,,,,,
"25 Nov, 2020",,,,,,,,,
,B,OPMs / Batch Measure,D,,,,,,
"16 Oct, 2020",,,,,,,,,
,B,Correção feedback calibração+setTest,D,,,,,,
